"";"x";"predicted";"conf.low";"conf.high";"group";"facet";"stimuli"
"359";3,6;0,856263417756846;0,880486190931448;0,827131230809551;"R";"L";"Familiar REW"
"361";3,64;0,393327173965161;0,428667730982556;0,355800577338193;"NR";"L";"Familiar non-REW"
"363";3,64;0,856777798067427;0,880963038135169;0,827678741081219;"R";"L";"Familiar REW"
"365";3,68;0,396699380303769;0,432129236125482;0,359059030891961;"NR";"L";"Familiar non-REW"
"367";3,68;0,859848714932466;0,883806227002414;0,830951502827186;"R";"L";"Familiar REW"
"369";3,72;0,39726354365102;0,432708024380136;0,359604486886724;"NR";"L";"Familiar non-REW"
"371";3,72;0,860357656593776;0,884276842376311;0,831494538583261;"R";"L";"Familiar REW"
"373";3,76;0,398392466144735;0,433866080561287;0,360696096163523;"NR";"L";"Familiar non-REW"
"375";3,76;0,861371953727934;0,885214148799113;0,832577490935036;"R";"L";"Familiar REW"
"377";3,8;0,39895782291136;0,434445881316101;0,361242917865896;"NR";"L";"Familiar non-REW"
"379";3,8;0,861877845199921;0,885681380860768;0,833117913859845;"R";"L";"Familiar REW"
"381";3,84;0,400088536444492;0,43560543096897;0,362336592424715;"NR";"L";"Familiar non-REW"
"383";3,84;0,86288551259816;0,886611392982669;0,834195135207934;"R";"L";"Familiar REW"
"385";3,88;0,4012197358324;0,436765357800827;0,363430837001263;"NR";"L";"Familiar non-REW"
"387";3,88;0,8638881383005;0,887535900382669;0,835267974772914;"R";"L";"Familiar REW"
"389";3,92;0,401786065604793;0,437345965800753;0,363978769273574;"NR";"L";"Familiar non-REW"
"391";3,92;0,864388047368318;0,887996555324143;0,835803249178622;"R";"L";"Familiar REW"
"393";3,96;0,402353948299191;0,437927968226992;0,364528418204924;"NR";"L";"Familiar non-REW"
"395";3,96;0,864887956434048;0,888457180823966;0,836338507028787;"R";"L";"Familiar REW"
"397";4;0,404064502523639;0,439680130596302;0,366185037253198;"NR";"L";"Familiar non-REW"
"399";4;0,866385493392366;0,889836411608692;0,837942494097169;"R";"L";"Familiar REW"
"401";4,08;0,40520833902022;0,440851284495586;0,367293333309476;"NR";"L";"Familiar non-REW"
"403";4,08;0,867379983793748;0,89075141361385;0,839008729720495;"R";"L";"Familiar REW"
"405";4,12;0,405781008767143;0,441437523416408;0,367848317163227;"NR";"L";"Familiar non-REW"
"407";4,12;0,867875811629961;0,89120730278521;0,839540689776479;"R";"L";"Familiar REW"
"409";4,16;0,408083909611017;0,443793359965625;0,370081849364968;"NR";"L";"Familiar non-REW"
"411";4,16;0,869855814083868;0,893026839412309;0,841665806313273;"R";"L";"Familiar REW"
"413";4,2;0,409823335200084;0,445571112215009;0,371770657431135;"NR";"L";"Familiar non-REW"
"415";4,2;0,871336671269319;0,894386515961361;0,843256263054414;"R";"L";"Familiar REW"
"417";4,28;0,410406447945922;0,446166647072777;0,372337265738085;"NR";"L";"Familiar non-REW"
"419";4,28;0,871830290326526;0,894839680063271;0,843786377906929;"R";"L";"Familiar REW"
"421";4,4;0,412159570390513;0,447956577507144;0,374041322468728;"NR";"L";"Familiar non-REW"
"423";4,4;0,873305880579573;0,896193236196926;0,845372311902838;"R";"L";"Familiar REW"
"425";4,48;0,413921370968616;0,449754220225859;0,375755031600064;"NR";"L";"Familiar non-REW"
"427";4,48;0,874776024242003;0,89754029623029;0,846954036292313;"R";"L";"Familiar REW"
"429";4,52;0,414509352275141;0,450354047990248;0,376327075056504;"NR";"L";"Familiar non-REW"
"431";4,52;0,875263835939773;0,897986833538266;0,847479387572034;"R";"L";"Familiar REW"
"433";4,56;0,415097333581617;0,450953857224636;0,37689913009132;"NR";"L";"Familiar non-REW"
"435";4,56;0,875750234630982;0,898431851056416;0,848003489727561;"R";"L";"Familiar REW"
"437";4,6;0,416274692610188;0,452154683846546;0,378044815862058;"NR";"L";"Familiar non-REW"
"439";4,6;0,876719950504063;0,899318501877699;0,849049022043163;"R";"L";"Familiar REW"
"441";4,68;0,418645069298133;0,454570210856156;0,380353691385493;"NR";"L";"Familiar non-REW"
"443";4,68;0,878655213707005;0,901086676062325;0,851136767279496;"R";"L";"Familiar REW"
"445";4,72;0,420431973619937;0,456389819271427;0,382095646641693;"NR";"L";"Familiar non-REW"
"447";4,72;0,880099119966623;0,902404433050432;0,852695962715119;"R";"L";"Familiar REW"
"449";4,84;0,421027608393764;0,456996317566177;0,382676322304504;"NR";"L";"Familiar non-REW"
"451";4,84;0,880577573461031;0,902840627463875;0,853213173488202;"R";"L";"Familiar REW"
"453";4,96;0,423422740740726;0,459433349817124;0,385013234200687;"NR";"L";"Familiar non-REW"
"455";4,96;0,88248719885751;0,904580319998105;0,85527871784856;"R";"L";"Familiar REW"
"457";5;0,425229120416435;0,461269953656846;0,386777169271092;"NR";"L";"Familiar non-REW"
"459";5;0,883912338639094;0,905877053447354;0,856821895044406;"R";"L";"Familiar REW"
"461";5,08;0,425832012823141;0,461882809695096;0,387366017220279;"NR";"L";"Familiar non-REW"
"463";5,08;0,884385119133706;0,906306794637313;0,857334364578686;"R";"L";"Familiar REW"
"465";5,12;0,427040655763129;0,463110973687246;0,388546991912048;"NR";"L";"Familiar non-REW"
"467";5,12;0,885328611928955;0,907163898990074;0,858357609818896;"R";"L";"Familiar REW"
"469";5,16;0,427644977233035;0,463725026566155;0,389137497897831;"NR";"L";"Familiar non-REW"
"471";5,16;0,885798207586888;0,907590150463033;0,858867323605476;"R";"L";"Familiar REW"
"473";5,24;0,428251147440412;0,464340716497755;0,389730075681895;"NR";"L";"Familiar non-REW"
"475";5,24;0,886267803242101;0,908016370080163;0,859377015337945;"R";"L";"Familiar REW"
"477";5,28;0,428857317647729;0,46495638693546;0,390322665967048;"NR";"L";"Familiar non-REW"
"479";5,28;0,886735962989071;0,908441054292451;0,85988543248423;"R";"L";"Familiar REW"
"481";5,4;0,429465351898985;0,465573706904345;0,390917346528293;"NR";"L";"Familiar non-REW"
"483";5,4;0,887204122733286;0,908865706441964;0,860393827266949;"R";"L";"Familiar REW"
"485";5,48;0,430074849001846;0,466192289281157;0,39151370199793;"NR";"L";"Familiar non-REW"
"487";5,48;0,887671964650347;0,909289936189845;0,860902010256327;"R";"L";"Familiar REW"
"489";5,52;0,430684346104645;0,466810851987861;0,392110070171727;"NR";"L";"Familiar non-REW"
"491";5,52;0,888138363586786;0,909712623531561;0,861408912402986;"R";"L";"Familiar REW"
"493";5,56;0,431904285189187;0,468048763499837;0,393303898850305;"NR";"L";"Familiar non-REW"
"495";5,56;0,889067561631924;0,910554136778963;0,862419507854974;"R";"L";"Familiar REW"
"497";5,6;0,432515676004273;0,468668960597316;0,393902418456639;"NR";"L";"Familiar non-REW"
"499";5,6;0,889531080342546;0,9109737156324;0,862923828653841;"R";"L";"Familiar REW"
"501";5,64;0,433128975422888;0,46929084342852;0,394503082288871;"NR";"L";"Familiar non-REW"
"503";5,64;0,889994599050316;0,911393261991565;0,863428126234048;"R";"L";"Familiar REW"
"505";5,72;0,434358570198653;0,470537169428366;0,395707859676801;"NR";"L";"Familiar non-REW"
"507";5,72;0,890919547164095;0,912229958109792;0,864435006129197;"R";"L";"Familiar REW"
"509";5,8;0,436822502587585;0,473033829822279;0,398122855809238;"NR";"L";"Familiar non-REW"
"511";5,8;0,892755610180804;0,913888372722612;0,866436629856699;"R";"L";"Familiar REW"
"513";5,84;0,437440471554833;0,473659722768251;0,398728851402143;"NR";"L";"Familiar non-REW"
"515";5,84;0,893212481657654;0,91430059956815;0,866935194222447;"R";"L";"Familiar REW"
"517";5,88;0,439297884229439;0,475540377838536;0,400550873041674;"NR";"L";"Familiar non-REW"
"519";5,88;0,89457698700025;0,915530659712835;0,868425494597662;"R";"L";"Familiar REW"
"521";5,96;0,439919370430407;0,476169296200442;0,401160891593892;"NR";"L";"Familiar non-REW"
"523";5,96;0,89503064213919;0,915939346957495;0,868921240902813;"R";"L";"Familiar REW"
"525";6;0,441787833239418;0,478059494199722;0,402995514514104;"NR";"L";"Familiar non-REW"
"527";6;0,89638579946715;0,917159163549189;0,870403257475117;"R";"L";"Familiar REW"
"529";6,08;0,442413338147881;0,478691907593686;0,403610091605737;"NR";"L";"Familiar non-REW"
"531";6,08;0,896836547874792;0,917564692284998;0,870896365290655;"R";"L";"Familiar REW"
"533";6,2;0,44304012312403;0,479325448702322;0,404226106928843;"NR";"L";"Familiar non-REW"
"535";6,2;0,897286756007467;0,91796953232436;0,871389121744549;"R";"L";"Familiar REW"
