"";"x";"predicted";"conf.low";"conf.high";"group"
"234";2,4;0,57140100808741;0,622852899077129;0,512929847746449;"Compl non-REW"
"235";2,4;0,585926116461211;0,623503095804522;0,544598696248844;"Compl REW"
"236";2,4;0,524136828176153;0,569112760129421;0,474466316602305;"Control 2"
"237";2,44;0,536042829307889;0,577783461100087;0,490175688528262;"Control 1"
"238";2,44;0,573153914562555;0,6246091610573;0,514645639285082;"Compl non-REW"
"239";2,44;0,587688385841761;0,625252211985818;0,546359251189659;"Compl REW"
"240";2,44;0,525843169381743;0,570842365774457;0,476125595603889;"Control 2"
"241";2,48;0,549809291994632;0,591656026633434;0,503674140447182;"Control 1"
"242";2,48;0,587171332384226;0,638614760314302;0,528404898457839;"Compl non-REW"
"243";2,48;0,601769983893546;0,639210098142399;0,560444610806378;"Compl REW"
"244";2,48;0,5395196917577;0,584679734806165;0,489449150332308;"Control 2"
"245";2,52;0,551531982457069;0,593389083894706;0,50536605193648;"Control 1"
"246";2,52;0,588922181762063;0,640359310004782;0,530128327110292;"Compl non-REW"
"247";2,52;0,603527496485132;0,6409495359734;0,562205144423092;"Compl REW"
"248";2,52;0,541231953887758;0,586408973585946;0,491120196783621;"Control 2"
"249";2,56;0,560150323565136;0,602048716794452;0,513840648278734;"Control 1"
"250";2,56;0,597670386049912;0,649062353780662;0,53875248208607;"Compl non-REW"
"251";2,56;0,612304405660605;0,649625247506274;0,571008262437893;"Compl REW"
"252";2,56;0,549800935355627;0,595051508044332;0,499493881733343;"Control 2"
"253";2,6;0,565324091878113;0,607239489034647;0,518935484025138;"Control 1"
"254";2,6;0,602913205332889;0,654264275174227;0,543935118135509;"Compl non-REW"
"255";2,6;0,617560717822145;0,654813066893327;0,576288119494042;"Compl REW"
"256";2,6;0,554947350404125;0,600234379887688;0,5045300272278;"Control 2"
"257";2,64;0,570500859340364;0,61242678675469;0,524039573626033;"Control 1"
"258";2,64;0,608152287739029;0,659453190782215;0,549123276307184;"Compl non-REW"
"259";2,64;0,622810463024457;0,659988196301225;0,581567624252637;"Compl REW"
"260";2,64;0,560098485127532;0,605415612907482;0,509576787330617;"Control 2"
"261";2,72;0,573952689570916;0,615882897863668;0,527445381332092;"Control 1"
"262";2,72;0,611641866674798;0,662903539711149;0,552584920083114;"Compl non-REW"
"263";2,72;0,626305561907585;0,663429994504826;0,585086220455826;"Compl REW"
"264";2,72;0,563534199441355;0,608867682158915;0,512946421536307;"Control 2"
"265";2,76;0,577407550274411;0,619338511762009;0,5308577723696;"Control 1"
"266";2,76;0,615131437277059;0,666350847566147;0,556049192716628;"Compl non-REW"
"267";2,76;0,62979937466695;0,66686784639153;0,588606198733809;"Compl REW"
"268";2,76;0,566973719435457;0,612319977176008;0,516323388825496;"Control 2"
"269";2,8;0,580863805092455;0,622792194310872;0,534274881823744;"Control 1"
"270";2,8;0,618619318446016;0,669792817510701;0,559515262005861;"Compl non-REW"
"271";2,8;0,633290207989055;0,670299661912946;0,592126376524359;"Compl REW"
"272";2,8;0,570415424177058;0,615771498348331;0,519705313396353;"Control 2"
"273";2,84;0,582592752902822;0,62451908505374;0,535984911632112;"Control 1"
"274";2,84;0,620362917282125;0,671511596419507;0,561249916272243;"Compl non-REW"
"275";2,84;0,635034796352883;0,672013960381521;0,593886373858709;"Compl REW"
"276";2,84;0,572137394662687;0,617497055623109;0,521398693167569;"Control 2"
"277";2,88;0,584321497939774;0,626244894477498;0,53769563406103;"Control 1"
"278";2,88;0,622105527910886;0,673228061777634;0,562985020034576;"Compl non-REW"
"279";2,88;0,636778070192555;0,673726160870919;0,595645882473432;"Compl REW"
"280";2,88;0,573859365138963;0,619222334716031;0,5230921946424;"Control 2"
"281";2,92;0,594693175035309;0,63658298668689;0,547974870891844;"Control 1"
"282";2,92;0,632543773214435;0,683484285979951;0,573404818078221;"Compl non-REW"
"283";2,92;0,647213389094123;0,683958373298325;0,606196202274531;"Compl REW"
"284";2,92;0,584194686861083;0,629566191797467;0,533265985430725;"Control 2"
"285";3,04;0,598151004321234;0,640023927588122;0,551407363700364;"Control 1"
"286";3,04;0,636017391599526;0,686888371550183;0,576881446805653;"Compl non-REW"
"287";3,04;0,650683376012074;0,687354205707578;0,609711353800612;"Compl REW"
"288";3,04;0,587642051173763;0,633010807955974;0,536664616706797;"Control 2"
"289";3,08;0,599880523900912;0,641743990433314;0,553125165025296;"Control 1"
"290";3,08;0,637753593241941;0,688588603184779;0,578620241419786;"Compl non-REW"
"291";3,08;0,652417258306679;0,689049735796121;0,611469176164352;"Compl REW"
"292";3,08;0,589366651149069;0,634732438909983;0,538366487608859;"Control 2"
"293";3,12;0,601609831806264;0,643462931410424;0,554843689209392;"Control 1"
"294";3,12;0,63948876802831;0,690286447608382;0,580359505181076;"Compl non-REW"
"295";3,12;0,654149777270491;0,690743103547797;0,613226486024258;"Compl REW"
"296";3,12;0,591091251113728;0,636453784095157;0,540068476577125;"Control 2"
"297";3,16;0,606801148897556;0,648617931405974;0,560007893610224;"Control 1"
"298";3,16;0,644692774113894;0,695373590239438;0,585580170589583;"Compl non-REW"
"299";3,16;0,65934377710879;0,695814907041652;0,618499838154804;"Compl REW"
"300";3,16;0,596269712364208;0,641616779084918;0,545184775285276;"Control 2"
"301";3,24;0,611996510667767;0,653770419813239;0,56518242129173;"Control 1"
"302";3,24;0,649893372415876;0,700445408708808;0,590810308899002;"Compl non-REW"
"303";3,24;0,664531283828595;0,700875015593394;0,623771783046;"Compl REW"
"304";3,24;0,601454146955965;0,646779314456428;0,550312868188453;"Control 2"
"305";3,28;0,617196801090903;0,658920387224687;0,570369252202799;"Control 1"
"306";3,28;0,655091339276092;0,705503590496362;0,596049457978569;"Compl non-REW"
"307";3,28;0,669713033198722;0,705923897437998;0,629043368405673;"Compl REW"
"308";3,28;0,606645468779444;0,651941979695096;0,55545403867953;"Control 2"
"309";3,32;0,620664387072717;0,662350643548627;0,573831537109294;"Control 1"
"310";3,32;0,658553124719887;0,708866717937298;0,599544346793563;"Compl non-REW"
"311";3,32;0,673162258340149;0,709280297994316;0,632557034709595;"Compl REW"
"312";3,32;0,610108182702158;0,655381554856579;0,558887136373247;"Control 2"
"313";3,44;0,622398012018893;0,664064659432037;0,575563377505266;"Control 1"
"314";3,44;0,660282563975452;0,710544749623105;0,601292648211347;"Compl non-REW"
"315";3,44;0,674884890628941;0,710955314132239;0,634313171944238;"Compl REW"
"316";3,44;0,6118397074472;0,65710052539179;0,560604714000142;"Control 2"
"317";3,48;0,629342839605714;0,670921003367397;0,582511397088829;"Control 1"
"318";3,48;0,667201947479679;0,717250756420263;0,608294111209231;"Compl non-REW"
"319";3,48;0,681773452390899;0,717646450864225;0,641342791995469;"Compl REW"
"320";3,48;0,618778389746731;0,663977774836288;0,567499096069346;"Control 2"
"321";3,52;0,632821538178023;0,674349907389064;0,585997283940508;"Control 1"
"322";3,52;0,67066263030705;0,720597895000889;0,611802842084472;"Compl non-REW"
"323";3,52;0,685216541539246;0,720987750719878;0,644859227592441;"Compl REW"
"324";3,52;0,62225538993089;0,667418208574919;0,570959703401539;"Control 2"
"325";3,56;0,63804294775539;0,679490270563172;0,591235785884529;"Control 1"
"326";3,56;0,675850312150897;0,725604677753762;0,617074302606443;"Compl non-REW"
"327";3,56;0,690375087999191;0,725988968396621;0,650132384924291;"Compl REW"
"328";3,56;0,627476004189301;0,672578714945387;0,576160335967092;"Control 2"
"329";3,6;0,639784114981539;0,681202959469195;0,592984038987354;"Control 1"
"330";3,6;0,677578432591932;0,727269659992988;0,618833507386077;"Compl non-REW"
"331";3,6;0,692092759648855;0,727652864733958;0,651889605638607;"Compl REW"
"332";3,6;0,629217378876004;0,674298471444444;0,577896509306278;"Control 2"
"333";3,64;0,641526576473221;0,682916059500419;0,594734456836424;"Control 1"
"334";3,64;0,679306930016428;0,728933629220201;0,620594598881344;"Compl non-REW"
"335";3,64;0,69381043127367;0,729316426938725;0,653647057571561;"Compl REW"
"336";3,64;0,630960286611207;0,67601875887244;0,579635198679727;"Control 2"
"337";3,76;0,643268798150179;0,684627904001235;0,596485700581081;"Control 1"
"338";3,76;0,681034277883186;0,73059497102694;0,622356225964607;"Compl non-REW"
"339";3,76;0,695526584209479;0,730977604594851;0,655403927306742;"Compl REW"
"340";3,76;0,632703194331111;0,677738729536519;0,581374009788565;"Control 2"
"341";3,88;0,646756395379956;0,688051998271779;0,599994090317414;"Control 1"
"342";3,88;0,684489345693733;0,73391377402635;0,625884531916256;"Compl non-REW"
"343";3,88;0,698958123085485;0,734297914559224;0,658917951261568;"Compl REW"
"344";3,88;0,6361928903477;0,681179855191682;0,584858061233439;"Control 2"
"345";3,92;0,650246274749475;0,691474860417115;0,603508263566456;"Control 1"
"346";3,92;0,687942969491997;0,737225341658539;0,62941787878596;"Compl non-REW"
"347";3,92;0,702386699863332;0,73761285548062;0,662431341365902;"Compl REW"
"348";3,92;0,639685846600524;0,684621154953557;0,588348136918115;"Control 2"
"349";3,96;0,651992216597646;0,69318636421611;0,60526716161362;"Control 1"
"350";3,96;0,689669372021227;0,738878558571234;0,631186553908589;"Compl non-REW"
"351";3,96;0,70410000412968;0,739268460484433;0,664187893345264;"Compl REW"
"352";3,96;0,641433697572888;0,686341567496412;0,590096168593267;"Control 2"
"353";4,08;0,657231147831603;0,698318685596363;0,610547685894648;"Control 1"
"354";4,08;0,694844013873059;0,74382485115147;0,636498012052819;"Compl non-REW"
"355";4,08;0,709233054151674;0,744223823584724;0,669455466952104;"Compl REW"
